GEOID,DIABETES,data_vintage
47037015804,10.7,CDC PLACES 2022
47037015629,5.0,CDC PLACES 2022
47037015626,8.9,CDC PLACES 2022
47037015628,5.0,CDC PLACES 2022
47037015622,5.9,CDC PLACES 2022
47037019117,13.1,CDC PLACES 2022
47037018803,7.8,CDC PLACES 2022
47037017702,10.4,CDC PLACES 2022
47037017701,5.5,CDC PLACES 2022
47037018804,7.2,CDC PLACES 2022
47037019118,6.5,CDC PLACES 2022
47037010602,7.0,CDC PLACES 2022
47037019200,8.2,CDC PLACES 2022
47037015637,16.3,CDC PLACES 2022
47037015633,5.0,CDC PLACES 2022
47037015636,7.5,CDC PLACES 2022
47037019119,8.3,CDC PLACES 2022
47037018205,7.7,CDC PLACES 2022
47037019501,5.0,CDC PLACES 2022
47037018411,7.3,CDC PLACES 2022
47037018204,5.0,CDC PLACES 2022
47037015632,9.0,CDC PLACES 2022
47037015634,5.0,CDC PLACES 2022
47037019121,5.5,CDC PLACES 2022
47037019120,5.0,CDC PLACES 2022
47037013002,5.0,CDC PLACES 2022
47037013600,9.3,CDC PLACES 2022
47037019502,8.5,CDC PLACES 2022
47037010404,5.0,CDC PLACES 2022
47037015805,5.3,CDC PLACES 2022
47037013701,5.0,CDC PLACES 2022
47037015635,6.2,CDC PLACES 2022
47037019402,13.1,CDC PLACES 2022
47037019401,6.7,CDC PLACES 2022
47037019007,5.0,CDC PLACES 2022
47037016700,7.1,CDC PLACES 2022
47037010403,6.4,CDC PLACES 2022
47037010105,5.0,CDC PLACES 2022
47037018412,7.8,CDC PLACES 2022
47037019503,5.3,CDC PLACES 2022
47037018303,10.1,CDC PLACES 2022
47037013001,7.8,CDC PLACES 2022
47037013702,8.2,CDC PLACES 2022
47037018304,5.0,CDC PLACES 2022
47037015806,8.4,CDC PLACES 2022
47037019008,11.8,CDC PLACES 2022
47037010303,5.0,CDC PLACES 2022
47037010302,5.0,CDC PLACES 2022
47037010601,9.3,CDC PLACES 2022
47037015624,5.9,CDC PLACES 2022
47037015625,13.4,CDC PLACES 2022
47037017000,5.2,CDC PLACES 2022
47037018904,10.6,CDC PLACES 2022
47037018905,7.1,CDC PLACES 2022
47037018302,9.3,CDC PLACES 2022
47037015630,11.3,CDC PLACES 2022
47037010103,5.0,CDC PLACES 2022
47037010202,5.2,CDC PLACES 2022
47037010104,5.5,CDC PLACES 2022
47037010106,10.5,CDC PLACES 2022
47037013300,5.0,CDC PLACES 2022
47037018102,7.3,CDC PLACES 2022
47037011300,5.0,CDC PLACES 2022
47037017901,12.9,CDC PLACES 2022
47037015620,5.0,CDC PLACES 2022
47037019105,5.0,CDC PLACES 2022
47037019106,5.0,CDC PLACES 2022
47037015502,6.4,CDC PLACES 2022
47037017100,6.2,CDC PLACES 2022
47037016900,5.0,CDC PLACES 2022
47037017902,6.4,CDC PLACES 2022
47037015627,5.5,CDC PLACES 2022
47037015623,6.9,CDC PLACES 2022
47037980100,5.0,CDC PLACES 2022
47037019116,8.9,CDC PLACES 2022
47037019115,10.7,CDC PLACES 2022
47037010201,7.6,CDC PLACES 2022
47037019600,8.9,CDC PLACES 2022
47037019300,5.9,CDC PLACES 2022
47037013400,12.4,CDC PLACES 2022
